position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
77,Dr. Mundo,3.666,top,46.56,3.2,3.34,8,23602,iron,2.0,2.0,"['Sion', 'Trundle', 'Kled', 'Illaoi', 'Gangplank']","['39.02', '40.2', '43.24', '44.61', '44.9']","['82', '398', '37', '269', '49']","['Gnar', 'Akali', 'Quinn', ""K'Sante"", 'Pantheon']","['70.59', '66.32', '65.33', '64.71', '63.64']","['68', '95', '75', '51', '88']",2.5553333333333335
78,Naafiri,3.666,top,42.82,0.29,3.45,0,2130,iron,3.0,,"['Trundle', 'Jax', 'Illaoi', 'Teemo', 'Garen']","['42.86', '42.86', '43.33', '47.62', '47.83']","['42', '42', '30', '63', '46']","['Mordekaiser', 'Yone', 'Darius']","['65.79', '56.25', '55.56']","['38', '48', '54']",3.333
79,Cho'Gath,3.666,top,44.5,2.99,1.51,1,22043,iron,2.0,3.0,"['Shen', 'Dr. Mundo', 'Sion', 'Irelia', 'Heimerdinger']","['31.37', '37.65', '40.4', '40.74', '41.18']","['51', '162', '99', '81', '68']","[""K'Sante"", 'Kennen', 'Kled', 'Quinn', 'Renekton']","['75.51', '63.16', '60.98', '56.52', '56.2']","['49', '38', '41', '46', '121']",2.888666666666667
80,Yone,3.666,top,42.74,9.82,26.1,-19,72405,iron,1.0,2.0,"['Garen', 'Trundle', 'Tahm Kench', 'Malphite', 'Tryndamere']","['41.76', '42.78', '43.18', '43.75', '45.28']","['1226', '1218', '264', '752', '424']","['Rumble', 'Sylas', 'Gnar', 'Aatrox', 'Volibear']","['58.49', '56.05', '54.73', '54.48', '53.99']","['212', '157', '201', '916', '552']",2.222
81,Kassadin,3.666,top,39.42,0.05,1.01,0,345,iron,5.0,,[],[],[],[],[],[],4.333
82,Sett,3.666,top,45.92,9.68,4.73,18,71396,iron,1.0,2.0,"['Singed', 'Malphite', 'Urgot', 'Vayne', 'Nasus']","['42.74', '45.05', '45.7', '46.63', '46.84']","['124', '697', '372', '208', '854']","['Camille', 'Akali', 'Pantheon', 'Rumble', 'Riven']","['60', '59.82', '59.51', '59.17', '58.81']","['195', '326', '326', '169', '318']",2.222
83,Ziggs,4.0,top,42.72,0.14,2.93,0,1016,iron,4.0,,[],[],[],[],[],[],4.0
84,Ivern,4.0,top,34.56,0.03,0.43,0,217,iron,5.0,,[],[],[],[],[],[],4.5
85,Pantheon,4.0,top,41.82,2.2,3.98,-5,16201,iron,3.0,4.0,"['Vayne', 'Urgot', 'Shen', 'Dr. Mundo', 'Volibear']","['26.19', '32.1', '34.29', '36.36', '38.33']","['42', '81', '35', '88', '120']","['Gnar', 'Jayce', 'Riven', 'Tryndamere', ""K'Sante""]","['68.18', '62.5', '61.19', '59.18', '56.25']","['44', '48', '67', '98', '48']",3.6666666666666665
86,Shyvana,4.0,top,44.85,0.28,0.81,0,2058,iron,2.0,,"['Trundle', 'Yone']","['37.5', '41.18']","['40', '34']","['Teemo', 'Jax', 'Sett', 'Garen']","['61.54', '53.33', '51.43', '51.16']","['52', '30', '35', '43']",3.0
87,Yasuo,4.0,top,41.78,3.71,29.13,-12,27339,iron,2.0,3.0,"['Dr. Mundo', 'Urgot', 'Jax', 'Singed', 'Trundle']","['39.17', '40.94', '40.98', '41.3', '41.91']","['120', '127', '366', '46', '377']","['Gangplank', 'Sylas', 'Camille', 'Kayle', 'Yorick']","['71.19', '59.68', '58.44', '53.85', '53.13']","['59', '62', '77', '117', '160']",3.0
88,Draven,4.0,top,35.99,0.07,8.43,-1,553,iron,4.0,,[],[],[],[],[],[],4.0
89,Ekko,4.0,top,38.88,0.19,2.8,-1,1376,iron,4.0,,['Teemo'],['47.37'],['38'],['Garen'],['54.84'],['31'],4.0
90,Malzahar,4.0,top,44.35,0.28,7.43,0,2043,iron,3.0,,['Sett'],['47.92'],['48'],"['Aatrox', 'Mordekaiser', 'Teemo', 'Darius', 'Yone']","['67.74', '66.67', '64.79', '64.52', '61.54']","['31', '42', '71', '31', '52']",3.5
91,Zilean,4.0,top,38.82,0.03,0.33,0,255,iron,3.0,,[],[],[],[],[],[],3.5
92,Volibear,4.333,top,45.07,4.58,2.03,4,33806,iron,2.0,3.0,"['Poppy', 'Jayce', 'Quinn', 'Vayne', 'Kayle']","['33.33', '38.36', '41.67', '42.11', '44.34']","['39', '73', '84', '95', '221']","['Varus', 'Gangplank', 'Kled', 'Rumble', 'Pantheon']","['64.86', '62.71', '62.26', '61.86', '61.67']","['37', '59', '53', '97', '120']",3.111
93,Tristana,4.333,top,41.45,0.27,5.58,-1,2017,iron,3.0,,"['Mordekaiser', 'Teemo', 'Sett']","['28.57', '29.17', '39.47']","['42', '48', '38']","['Garen', 'Yone']","['53.06', '51.52']","['49', '33']",3.6665
